央视频道,#genre#
青海卫视,http://192.168.6.211:4022/udp/233.18.204.112:5140
西藏卫视,http://192.168.6.211:4022/udp/233.18.204.222:5140
陕西卫视,http://192.168.6.211:4022/udp/233.18.204.223:5140
云南卫视,http://192.168.6.211:4022/udp/233.18.204.106:5140
甘肃卫视,http://192.168.6.211:4022/udp/233.18.204.110:5140
内蒙古卫视,http://192.168.6.211:4022/udp/233.18.204.217:5140
河南卫视,http://192.168.6.211:4022/udp/233.18.204.105:5140
新疆卫视,http://192.168.6.211:4022/udp/233.18.204.220:5140
兵团卫视,http://192.168.6.211:4022/udp/233.18.204.211:5140
三沙卫视,http://192.168.6.211:4022/udp/233.18.204.172:5140
宁夏卫视,http://192.168.6.211:4022/udp/233.18.204.230:5140
其它频道,#genre#
CHC家庭影院,http://192.168.6.211:4022/udp/233.18.204.173:5140
CHC动作电影,http://192.168.6.211:4022/udp/233.18.204.174:5140
CHC影迷电影,http://192.168.6.211:4022/udp/233.18.204.175:5140
金鹰卡通,http://192.168.6.211:4022/udp/233.18.204.113:5140
金鹰纪实,http://192.168.6.211:4022/udp/233.18.204.104:5140
嘉佳卡通,http://192.168.6.211:4022/udp/233.18.204.151:5140
卡酷动画,http://192.168.6.211:4022/udp/233.18.204.109:5140
北京纪实,http://192.168.6.211:4022/udp/239.45.1.14:5140
百事通4K电影,http://192.168.6.211:4022/udp/233.18.204.169:5140
百事通4K纪实,http://192.168.6.211:4022/udp/233.18.204.170:5140
百事通4K儿童,http://192.168.6.211:4022/udp/233.18.204.171:5140
快乐垂钓,http://192.168.6.211:4022/udp/233.18.204.42:5140
茶频道,http://192.168.6.211:4022/udp/233.18.204.43:5140
财富天下,http://192.168.6.211:4022/udp/233.18.204.231:5140
东方购物直播,http://192.168.6.211:4022/udp/233.18.204.61:5140
历年春晚,#genre#
春晚1986,https://txmov2.a.kwimgs.com/bs3/video-hls/5231493982164619599_hlshd15.m3u8
春晚1987,https://txmov2.a.kwimgs.com/bs3/video-hls/5195746663405928031_hlsb.m3u8
春晚1988,https://txmov2.a.kwimgs.com/bs3/video-hls/5216575810935394655_hlsb.m3u8
春晚1991,https://txmov2.a.kwimgs.com/bs3/video-hls/5210664837540712798_hlshd15.m3u8
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1998,https://txmov2.a.kwimgs.com/bs3/video-hls/5225864507896315430_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚2000,https://txmov2.a.kwimgs.com/bs3/video-hls/5216294359327079321_hlshd15.m3u8
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
春晚2002,https://txmov2.a.kwimgs.com/bs3/video-hls/5255700858599864364_hlshd15.m3u8
春晚2004,https://txmov2.a.kwimgs.com/bs3/video-hls/5223894184413450769_hlshd15.m3u8
春晚2005,https://txmov2.a.kwimgs.com/bs3/video-hls/5254012008863954469_hlshd15.m3u8
春晚2006,https://txmov2.a.kwimgs.com/bs3/video-hls/5194339310474320155_hlshd15.m3u8
春晚2007,https://txmov2.a.kwimgs.com/bs3/video-hls/5219953534755647343_hlshd15.m3u8
春晚2008,https://txmov2.a.kwimgs.com/bs3/video-hls/5194902262344826321_hlshd15.m3u8
春晚2009,https://txmov2.a.kwimgs.com/bs3/video-hls/5210946337266019890_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2020,https://txmov2.a.kwimgs.com/bs3/video-hls/5248101009010430183_hlshd15.m3u8
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
春晚1992,https://txmov2.a.kwimgs.com/bs3/video-hls/5256826755663896297_hlshd15.m3u8
春晚1993,https://txmov2.a.kwimgs.com/bs3/video-hls/5217420261875933947_hlshd15.m3u8
春晚1994,https://txmov2.a.kwimgs.com/bs3/video-hls/5197154061406974711_hlshd15.m3u8
春晚1995,https://txmov2.a.kwimgs.com/bs3/video-hls/5255137907893179578_hlshd15.m3u8
春晚1997,https://txmov2.a.kwimgs.com/bs3/video-hls/5230649583590411879_hlshd15.m3u8
春晚1999,https://txmov2.a.kwimgs.com/bs3/video-hls/5258234133675308186_hlshd15.m3u8
春晚2001,https://txmov2.a.kwimgs.com/bs3/video-hls/5228960735897942616_hlshd15.m3u8
春晚2014,https://txmov2.a.kwimgs.com/bs3/video-hls/5245286283437869627_hlshd15.m3u8
春晚2019,https://txmov2.a.kwimgs.com/bs3/video-hls/5222205336887088723_hlshd15.m3u8
春晚2023,https://txmov2.a.kwimgs.com/bs3/video-hls/5251197255879398624_hlshd15.m3u8
春晚2024,https://v10.dious.cc/20240209/4AK9UB5p/index.m3u8


